file_path,file_name,domain_cn,domain_en,updated_at
E:\domain\papers\Deformation-pattern-of-a-creeping-slope-revealed-by-continu_2026_Engineering.pdf,Deformation-pattern-of-a-creeping-slope-revealed-by-continu_2026_Engineering.pdf,岩土工程,Geotechnical Engineering,2026-02-11 10:57:17
E:\domain\papers\Probabilistic-prediction-of-slope-failure-time_2020_Engineering-Geology.pdf,Probabilistic-prediction-of-slope-failure-time_2020_Engineering-Geology.pdf,岩土工程,Geotechnical Engineering,2026-02-11 10:58:27
E:\domain\papers\Two-phase-PFEM-with-stable-nodal-integration-for_2022_Computer-Methods-in-Ap.pdf,Two-phase-PFEM-with-stable-nodal-integration-for_2022_Computer-Methods-in-Ap.pdf,岩土工程,Geotechnical Engineering,2026-02-11 10:59:47
E:\domain\papers\Centrifuge-modelling-of-a-roto-translational-landslide-in_2025_Engineering-G.pdf,Centrifuge-modelling-of-a-roto-translational-landslide-in_2025_Engineering-G.pdf,工程地质,Engineering Geology,2026-02-11 10:56:57
E:\domain\papers\sample_other.txt,sample_other.txt,测试领域-2,,2026-02-03 09:44:49
E:\domain\papers\（11）Carbon-nanoparticles-Fe-II--complex-combined-with-soraf_2025_Colloids-and-Su.pdf,（11）Carbon-nanoparticles-Fe-II--complex-combined-with-soraf_2025_Colloids-and-Su.pdf,生命科学,Life Science,2026-02-11 11:43:33
E:\domain\papers\（12）CDK9 inhibitors reactivate p53 by downregulating iASPP.pdf,（12）CDK9 inhibitors reactivate p53 by downregulating iASPP.pdf,生命科学,Life Science,2026-02-11 11:43:52
E:\domain\papers\（13）Chromatin-Accessibility-Dynamics-during-iPSC-Reprogrammin_2017_Cell-Stem-Cel.pdf,（13）Chromatin-Accessibility-Dynamics-during-iPSC-Reprogrammin_2017_Cell-Stem-Cel.pdf,生命科学,Life Science,2026-02-11 11:44:36
E:\domain\papers\（14）Comparison of mesenchymal stem cells derived from gingival tissue and periodontal ligament in different incubation conditions.pdf,（14）Comparison of mesenchymal stem cells derived from gingival tissue and periodontal ligament in different incubation conditions.pdf,生命科学,Life Science,2026-02-11 11:44:53
E:\domain\papers\（15）DDX24-inhibits-clear-cell-renal-cell-carcinoma-progression_2025_Cellular-Sig.pdf,（15）DDX24-inhibits-clear-cell-renal-cell-carcinoma-progression_2025_Cellular-Sig.pdf,生命科学,Life Science,2026-02-11 11:45:29
